SGB name	Representative bin	Cluster MAGs
SGB_2969	T2108173948_concoct_bins_bin.64	"T2108173948_concoct_bins_bin.64.fa,T2108173948_metabat2_bins_bin.34.fa"
SGB_1607	T2108174072_concoct_bins_bin.77	"T2108174072_maxbin2_bins_bin.47.fa,T2108174072_concoct_bins_bin.77.fa,T2108174072_metabat2_bins_bin.69.fa,T2108174144_metabat2_bins_bin.18.fa,T2108174144_concoct_bins_bin.28.fa,T2108174144_maxbin2_bins_bin.48.fa"
SGB_1790	T2108174133_concoct_bins_bin.57	"T2108173934_metabat2_bins_bin.59.fa,T2108173934_maxbin2_bins_bin.100.fa,T2108173934_concoct_bins_bin.211.fa,T2108173922_maxbin2_bins_bin.71.fa,T2108173922_concoct_bins_bin.26.fa,T2108174133_metabat2_bins_bin.2.fa,T2108174133_maxbin2_bins_bin.46.fa,T2108174133_concoct_bins_bin.57.fa,T2107171953_metabat2_bins_bin.61.fa,T2107171953_concoct_bins_bin.12.fa,T2107171953_maxbin2_bins_bin.88.fa,T2108174147_metabat2_bins_bin.40.fa,T2108174147_concoct_bins_bin.119.fa,T2107171978_metabat2_bins_bin.24.fa,T2108174147_maxbin2_bins_bin.87.fa,T2107171978_concoct_bins_bin.35.fa,T2107171978_maxbin2_bins_bin.71.fa,T2108173941_concoct_bins_bin.85.fa,T2108174111_concoct_bins_bin.35.fa"
SGB_2976	1111525849853675_bin.2	"1111525849853675_bin.2.fa,1111525849478185_bin.9.fa,T2108173941_metabat2_bins_bin.30.fa"
SGB_2972	T2108173978_metabat2_bins_bin.122	T2108173978_metabat2_bins_bin.122.fa
SGB_2973	T2108173979_metabat2_bins_bin.37	T2108173979_metabat2_bins_bin.37.fa
SGB_1007	T2108173867_metabat2_bins_bin.51	"T2108173867_metabat2_bins_bin.51.fa,T2108173868_maxbin2_bins_bin.20.fa,T2108173868_metabat2_bins_bin.17.fa,T2108173866_concoct_bins_bin.40.fa,T2108173866_metabat2_bins_bin.12.fa"
SGB_699	SMGC_380	"MET0251_bin.68.fa,SMGC_380.fa"
SGB_1301	T2108173978_concoct_bins_bin.145	"T2108173978_metabat2_bins_bin.35.fa,T2108173978_concoct_bins_bin.145.fa,T2108173978_maxbin2_bins_bin.138.fa,T2108174102_concoct_bins_bin.75.fa"
SGB_940	T2107171992_concoct_bins_bin.163	"T2107171992_metabat2_bins_bin.127.fa,T2107171992_maxbin2_bins_bin.117.fa,T2107171992_concoct_bins_bin.163.fa,T2108174062_metabat2_bins_bin.29.fa,T2108174062_maxbin2_bins_bin.131.fa,T2107171981_metabat2_bins_bin.78.fa,T2108174062_concoct_bins_bin.49.fa,T2107171978_metabat2_bins_bin.77.fa,T2107171981_maxbin2_bins_bin.57.fa,T2107171978_maxbin2_bins_bin.82.fa,T2107171978_concoct_bins_bin.93.fa,T2107171981_concoct_bins_bin.23.fa,T2108174102_concoct_bins_bin.131.fa,T2107172014_concoct_bins_bin.71.fa"
SGB_2386	T2108174052_metabat2_bins_bin.84	"MET0251_bin.47.fa,T2108174055_metabat2_bins_bin.13.fa,T2108174052_metabat2_bins_bin.84.fa"
SGB_1230	T2108173937_concoct_bins_bin.16	"T2108173937_metabat2_bins_bin.21.fa,T2108173937_concoct_bins_bin.16.fa,T2108174133_metabat2_bins_bin.5.fa,T2107172014_metabat2_bins_bin.28.fa,T2108173930_metabat2_bins_bin.24.fa,T2107172014_concoct_bins_bin.46.fa,T2107172008_metabat2_bins_bin.28.fa,T2108174062_metabat2_bins_bin.92.fa,T2107172008_concoct_bins_bin.38.fa,T2108174062_maxbin2_bins_bin.5.fa,T2108173962_metabat2_bins_bin.8.fa,T2108173962_concoct_bins_bin.120.fa,T2108174145_metabat2_bins_bin.32.fa,T2108174145_concoct_bins_bin.16.fa,T2108174145_maxbin2_bins_bin.73.fa,T2108174063_metabat2_bins_bin.86.fa,T2108173902_concoct_bins_bin.49.fa,T2108173965_concoct_bins_bin.64.fa"
SGB_1197	T2108173925_concoct_bins_bin.98	"T2108173925_concoct_bins_bin.98.fa,T2108174089_concoct_bins_bin.83.fa,T2108174089_metabat2_bins_bin.92.fa"
SGB_1485	T2108174043_concoct_bins_bin.47	"T2108174126_metabat2_bins_bin.82.fa,T2108173984_metabat2_bins_bin.49.fa,T2108173984_concoct_bins_bin.8.fa,T2108174043_metabat2_bins_bin.53.fa,T2108174043_maxbin2_bins_bin.77.fa,T2108174127_metabat2_bins_bin.104.fa,T2108174043_concoct_bins_bin.47.fa,T2108174127_concoct_bins_bin.147.fa,T2108173986_metabat2_bins_bin.114.fa,T2108173986_concoct_bins_bin.76.fa,T2108173986_maxbin2_bins_bin.73.fa,T2108173907_metabat2_bins_bin.45.fa,T2107172020_concoct_bins_bin.34.fa"
SGB_639	SMGC_282	"T2108173925_metabat2_bins_bin.60.fa,T2108173925_concoct_bins_bin.42.fa,SMGC_282.fa,T2107171973_metabat2_bins_bin.42.fa,T2107171973_concoct_bins_bin.1.fa,T2108174062_metabat2_bins_bin.187.fa,T2108174062_maxbin2_bins_bin.20.fa,T2108174000_metabat2_bins_bin.70.fa,T2108173980_metabat2_bins_bin.206.fa,T2108173931_metabat2_bins_bin.88.fa,T2108174000_concoct_bins_bin.109.fa,T2108173931_concoct_bins_bin.100.fa,T2108173900_concoct_bins_bin.28.fa"
SGB_1756	T2108174126_metabat2_bins_bin.80	T2108174126_metabat2_bins_bin.80.fa
SGB_2387	T2108174023_concoct_bins_bin.48	"T2108174023_concoct_bins_bin.48.fa,T2107171992_maxbin2_bins_bin.130.fa"
SGB_911	T2107171981_metabat2_bins_bin.45	"T2107171981_metabat2_bins_bin.45.fa,T2107171978_metabat2_bins_bin.49.fa,T2107171978_maxbin2_bins_bin.63.fa"
SGB_2388	T2108173920_metabat2_bins_bin.5	T2108173920_metabat2_bins_bin.5.fa
SGB_731	SMGC_445	SMGC_445.fa
SGB_533	SMGC_124	"MET0251_bin.6.fa,SMGC_124.fa,T2108174062_maxbin2_bins_bin.45.fa"
SGB_677	SMGC_344	"1111525849480988_bin.42.fa,1111525849486260_bin.16.fa,1111525849858550_bin.26.fa,SMGC_344.fa,R_T2109198906_concoct_bins_bin.14.fa,R_T2109198906_maxbin2_bins_bin.11.fa"
SGB_2952	T2108174144_metabat2_bins_bin.8	T2108174144_metabat2_bins_bin.8.fa
SGB_713	SMGC_401	SMGC_401.fa
SGB_294	1111525849755644_bin.4	"1111525849755644_bin.4.fa,T2108174062_maxbin2_bins_bin.134.fa,T2108174062_metabat2_bins_bin.42.fa,T2108174144_concoct_bins_bin.72.fa,T2108174144_maxbin2_bins_bin.39.fa,T2108174144_metabat2_bins_bin.28.fa,T2108173948_concoct_bins_bin.26.fa,T2108173948_metabat2_bins_bin.31.fa,SMGC_568.fa"
SGB_2955	T2108174075_metabat2_bins_bin.14	T2108174075_metabat2_bins_bin.14.fa
SGB_1592	T2108174068_concoct_bins_bin.60	"T2108174044_maxbin2_bins_bin.81.fa,T2108174044_metabat2_bins_bin.112.fa,T2108173931_metabat2_bins_bin.31.fa,T2108173931_concoct_bins_bin.2.fa,T2108174069_maxbin2_bins_bin.72.fa,T2108174069_metabat2_bins_bin.92.fa,T2108174068_concoct_bins_bin.60.fa,T2108174068_metabat2_bins_bin.13.fa,T2108174043_metabat2_bins_bin.95.fa,T2108174041_metabat2_bins_bin.52.fa,T2108174041_concoct_bins_bin.81.fa,T2108173930_metabat2_bins_bin.52.fa,T2107171984_metabat2_bins_bin.5.fa,SMGC_485.fa"
SGB_2942	T2108174124_concoct_bins_bin.37	"T2108174124_concoct_bins_bin.37.fa,T2108174124_metabat2_bins_bin.8.fa"
SGB_2947	T2107172000_metabat2_bins_bin.69	T2107172000_metabat2_bins_bin.69.fa
SGB_1503	T2108174044_metabat2_bins_bin.66	T2108174044_metabat2_bins_bin.66.fa
SGB_1798	T2108174133_metabat2_bins_bin.33	"T2108174019_metabat2_bins_bin.15.fa,T2108174019_maxbin2_bins_bin.30.fa,T2108174019_concoct_bins_bin.25.fa,T2108174133_concoct_bins_bin.172.fa,T2108174133_metabat2_bins_bin.33.fa,T2108174145_metabat2_bins_bin.46.fa,T2108174145_concoct_bins_bin.11.fa,T2108174145_maxbin2_bins_bin.61.fa,T2107172014_concoct_bins_bin.123.fa,T2107172014_metabat2_bins_bin.54.fa,T2108174007_metabat2_bins_bin.85.fa,T2107172014_maxbin2_bins_bin.71.fa,T2108174007_concoct_bins_bin.71.fa,T2108174023_metabat2_bins_bin.108.fa,T2108174023_concoct_bins_bin.32.fa,T2107171968_metabat2_bins_bin.18.fa,T2107171968_concoct_bins_bin.62.fa,SMGC_165.fa"
SGB_1857	T2108174144_metabat2_bins_bin.52	"MET0639_bin.11_new.fa,T2108174144_metabat2_bins_bin.52.fa,T2108174145_metabat2_bins_bin.87.fa,T2108174146_metabat2_bins_bin.41.fa,T2108174141_metabat2_bins_bin.5.fa"
SGB_2949	T2107172016_concoct_bins_bin.67	"T2107172016_concoct_bins_bin.67.fa,T2107172016_metabat2_bins_bin.25.fa,SMGC_44.fa"
SGB_871	T2107171953_metabat2_bins_bin.44	T2107171953_metabat2_bins_bin.44.fa
SGB_1187	T2108173922_metabat2_bins_bin.103	T2108173922_metabat2_bins_bin.103.fa
SGB_2948	T2107171953_metabat2_bins_bin.15	T2107171953_metabat2_bins_bin.15.fa
SGB_696	SMGC_371	SMGC_371.fa
SGB_1235	T2108173941_metabat2_bins_bin.22	T2108173941_metabat2_bins_bin.22.fa
SGB_2953	T2108173919_concoct_bins_bin.32	T2108173919_concoct_bins_bin.32.fa
SGB_2954	T2107171953_metabat2_bins_bin.59	T2107171953_metabat2_bins_bin.59.fa
SGB_1709	T2108174107_metabat2_bins_bin.64	T2108174107_metabat2_bins_bin.64.fa
SGB_2951	T2108174114_concoct_bins_bin.77	T2108174114_concoct_bins_bin.77.fa
SGB_1737	T2108174122_metabat2_bins_bin.52	T2108174122_metabat2_bins_bin.52.fa
SGB_1279	T2108173965_metabat2_bins_bin.6	"T2108173965_metabat2_bins_bin.6.fa,T2108173965_maxbin2_bins_bin.44.fa,T2107171981_metabat2_bins_bin.77.fa,T2107171978_metabat2_bins_bin.2.fa"
SGB_754	SMGC_486	"MET0332_bin.11.fa,T2108173926_metabat2_bins_bin.107.fa,T2108174062_metabat2_bins_bin.151.fa,T2108174062_maxbin2_bins_bin.14.fa,T2108173934_metabat2_bins_bin.57.fa,T2108173934_concoct_bins_bin.170.fa,T2107171953_concoct_bins_bin.73.fa,T2108173905_metabat2_bins_bin.8.fa,T2108174027_metabat2_bins_bin.6.fa,T2108174027_concoct_bins_bin.60.fa,T2108174107_metabat2_bins_bin.9.fa,T2107171953_metabat2_bins_bin.52.fa,SMGC_486.fa,T2108174144_metabat2_bins_bin.16.fa,T2108174069_metabat2_bins_bin.5.fa,T2108174131_concoct_bins_bin.23.fa"
SGB_1618	T2108174075_concoct_bins_bin.26	"1111525849755644_bin.75.fa,T2108174075_metabat2_bins_bin.22.fa,T2108174075_concoct_bins_bin.26.fa,T2108174075_maxbin2_bins_bin.36.fa,T2108174123_concoct_bins_bin.14.fa,T2108174074_concoct_bins_bin.151.fa"
SGB_534	SMGC_126	"MET0251_bin.76.fa,SMGC_126.fa"
SGB_1754	T2108174126_metabat2_bins_bin.35	"T2108174126_metabat2_bins_bin.35.fa,T2108174126_concoct_bins_bin.44.fa,T2108174127_concoct_bins_bin.70.fa,T2108174127_metabat2_bins_bin.70.fa,T2108174127_maxbin2_bins_bin.60.fa,T2108174147_maxbin2_bins_bin.34.fa,T2108174062_metabat2_bins_bin.48.fa,T2108174062_maxbin2_bins_bin.50.fa,T2107172014_metabat2_bins_bin.33.fa,T2108174063_metabat2_bins_bin.11.fa,T2108174063_maxbin2_bins_bin.61.fa,T2108173965_metabat2_bins_bin.3.fa,T2108173962_metabat2_bins_bin.7.fa,T2108174061_metabat2_bins_bin.20.fa"
SGB_1576	T2108174062_metabat2_bins_bin.150	"T2108174062_metabat2_bins_bin.150.fa,T2108173980_concoct_bins_bin.170.fa"
SGB_2391	T2108174062_maxbin2_bins_bin.166	T2108174062_maxbin2_bins_bin.166.fa
SGB_2390	T2107172000_concoct_bins_bin.2	T2107172000_concoct_bins_bin.2.fa
SGB_1456	T2108174023_concoct_bins_bin.22	"T2108174023_concoct_bins_bin.22.fa,T2108174023_maxbin2_bins_bin.118.fa"
SGB_995	T2107172020_concoct_bins_bin.24	T2107172020_concoct_bins_bin.24.fa
SGB_982	T2107172014_metabat2_bins_bin.77	"T2107172014_metabat2_bins_bin.77.fa,T2107172014_maxbin2_bins_bin.28.fa,T2108174000_metabat2_bins_bin.65.fa,T2107171992_metabat2_bins_bin.112.fa,T2108174115_metabat2_bins_bin.5.fa,T2108174114_metabat2_bins_bin.31.fa"
SGB_169	1111525849645752_bin.44	"1111525849645752_bin.44.fa,T2107171992_metabat2_bins_bin.54.fa,T2108173910_concoct_bins_bin.72.fa,SMGC_203.fa"
SGB_1182	T2108173920_metabat2_bins_bin.31	T2108173920_metabat2_bins_bin.31.fa
SGB_532	SMGC_123	"MET0251_bin.60.fa,SMGC_123.fa,T2108174063_metabat2_bins_bin.91.fa,T2108174063_maxbin2_bins_bin.32.fa,T2108174061_metabat2_bins_bin.35.fa,T2108174061_maxbin2_bins_bin.33.fa,T2107171973_metabat2_bins_bin.36.fa,T2107171973_concoct_bins_bin.11.fa,T2108174062_metabat2_bins_bin.34.fa,T2108174089_metabat2_bins_bin.29.fa,T2108174062_maxbin2_bins_bin.15.fa,T2108174089_concoct_bins_bin.97.fa,T2108174089_maxbin2_bins_bin.47.fa,T2108173931_metabat2_bins_bin.2.fa,T2108173931_maxbin2_bins_bin.48.fa,T2108173931_concoct_bins_bin.120.fa,T2108173925_metabat2_bins_bin.82.fa,T2108173925_concoct_bins_bin.79.fa,T2108173925_maxbin2_bins_bin.70.fa,T2108174019_metabat2_bins_bin.30.fa,T2108174016_metabat2_bins_bin.26.fa,T2108174128_metabat2_bins_bin.65.fa,T2108174016_concoct_bins_bin.134.fa,T2108174019_concoct_bins_bin.16.fa,T2107171972_metabat2_bins_bin.18.fa,T2107171972_concoct_bins_bin.68.fa,T2108174060_maxbin2_bins_bin.15.fa,T2108174088_concoct_bins_bin.105.fa"
SGB_1123	T2108173902_concoct_bins_bin.13	"T2108173902_metabat2_bins_bin.63.fa,T2108173902_concoct_bins_bin.13.fa,T2108174062_metabat2_bins_bin.190.fa,T2108174043_metabat2_bins_bin.77.fa,T2108174062_maxbin2_bins_bin.117.fa,T2108173907_metabat2_bins_bin.4.fa,T2108173907_concoct_bins_bin.46.fa,T2108174046_concoct_bins_bin.144.fa"
SGB_2392	MET0841_bin.2	"MET0834_bin.1.fa,MET0841_bin.2.fa,SMGC_161.fa"
SGB_2393	T2107171978_metabat2_bins_bin.29	T2107171978_metabat2_bins_bin.29.fa
SGB_2389	T2108174064_concoct_bins_bin.119	"T2108174064_concoct_bins_bin.119.fa,T2108174064_maxbin2_bins_bin.54.fa"
SGB_838	SMGC_70	"1111525849479196_bin.37.fa,1111525849771679_bin.1_new.fa,1111525849483071_bin.5.fa,T2108173880_metabat2_bins_bin.30.fa,T2108173907_metabat2_bins_bin.37.fa,T2108174037_metabat2_bins_bin.28.fa,T2108173993_metabat2_bins_bin.20.fa,T2108173941_concoct_bins_bin.131.fa,T2108173880_concoct_bins_bin.12.fa,T2107172004_metabat2_bins_bin.41.fa,T2108174038_metabat2_bins_bin.22.fa,T2108173941_metabat2_bins_bin.45.fa,SMGC_70.fa,T2108174037_metabat2_bins_bin.19.fa,T2108173877_metabat2_bins_bin.45.fa,T2108173993_concoct_bins_bin.91.fa,T2107171968_metabat2_bins_bin.47.fa,T2108173909_metabat2_bins_bin.13.fa,T2107171977_metabat2_bins_bin.16.fa,T2107172004_concoct_bins_bin.72.fa,T2108173862_metabat2_bins_bin.4.fa,T2108173871_concoct_bins_bin.76.fa,T2107171977_concoct_bins_bin.6.fa,T2108173862_maxbin2_bins_bin.26.fa,T2107171977_maxbin2_bins_bin.12.fa,T2107171995_concoct_bins_bin.36.fa,T2107171995_metabat2_bins_bin.58.fa,T2108173904_metabat2_bins_bin.60.fa,T2108174048_concoct_bins_bin.10.fa,T2108173893_metabat2_bins_bin.26.fa,T2108174048_metabat2_bins_bin.121.fa,T2108173893_concoct_bins_bin.50.fa,T2108174043_concoct_bins_bin.88.fa,T2108174043_maxbin2_bins_bin.84.fa,T2108174104_concoct_bins_bin.1.fa,T2108174111_metabat2_bins_bin.76.fa,T2108173914_concoct_bins_bin.113.fa,T2108173915_concoct_bins_bin.106.fa,T2108174133_concoct_bins_bin.127.fa"
SGB_2941	T2108174079_metabat2_bins_bin.31	T2108174079_metabat2_bins_bin.31.fa
SGB_2415	T2108174077_metabat2_bins_bin.85	T2108174077_metabat2_bins_bin.85.fa
SGB_2405	T2108173920_metabat2_bins_bin.44	"T2108173920_metabat2_bins_bin.44.fa,T2108173980_metabat2_bins_bin.124.fa"
SGB_1777	T2108174128_concoct_bins_bin.123	"T2108174128_concoct_bins_bin.123.fa,T2108174128_metabat2_bins_bin.7.fa,T2108173928_concoct_bins_bin.5.fa"
SGB_1489	T2108174044_concoct_bins_bin.147	"T2108174044_concoct_bins_bin.147.fa,T2108174044_maxbin2_bins_bin.69.fa,T2108174044_metabat2_bins_bin.80.fa,T2108173920_metabat2_bins_bin.102.fa,T2108173986_metabat2_bins_bin.92.fa"
SGB_1497	T2108174044_concoct_bins_bin.85	"T2108174046_metabat2_bins_bin.10.fa,T2108173920_metabat2_bins_bin.24.fa,T2108174046_maxbin2_bins_bin.21.fa,T2108174044_concoct_bins_bin.85.fa,T2108174046_metabat2_bins_bin.111.fa,T2108174047_metabat2_bins_bin.59.fa"
SGB_993	T2107172018_concoct_bins_bin.35	"1111525849668257_bin.14_new.fa,1111525849668387_bin.2.fa,MET0213_bin.13.fa,MET0207_bin.73.fa,1111525849667770_bin.5.fa,1111525849669644_bin.8.fa,1111525849742850_bin.30.fa,1111525849475512_bin.8.fa,T2107172018_concoct_bins_bin.35.fa,T2108173922_concoct_bins_bin.16.fa,T2108173922_metabat2_bins_bin.51.fa,T2108173924_metabat2_bins_bin.4.fa,T2108173924_concoct_bins_bin.21.fa,T2108173923_metabat2_bins_bin.24.fa,T2108173923_concoct_bins_bin.34.fa,T2108173904_concoct_bins_bin.17.fa,T2108173925_concoct_bins_bin.81.fa,T2108173897_concoct_bins_bin.65.fa,T2108173960_metabat2_bins_bin.6.fa,T2108173958_metabat2_bins_bin.67.fa,T2108173961_metabat2_bins_bin.11.fa,T2108173923_maxbin2_bins_bin.19.fa,T2108173960_concoct_bins_bin.14.fa,T2108173958_maxbin2_bins_bin.18.fa,T2108173961_maxbin2_bins_bin.7.fa,T2108174011_concoct_bins_bin.11.fa,T2108173959_concoct_bins_bin.20.fa,T2108173920_metabat2_bins_bin.96.fa,T2108173978_metabat2_bins_bin.167.fa,T2108174120_concoct_bins_bin.0.fa,T2108174133_concoct_bins_bin.138.fa,T2108173991_concoct_bins_bin.157.fa,T2108174142_concoct_bins_bin.89.fa,T2108173896_concoct_bins_bin.73.fa,T2108174121_concoct_bins_bin.76.fa,T2108174137_concoct_bins_bin.31.fa,SMGC_428.fa"
SGB_1747	T2108174125_concoct_bins_bin.86	"T2108173980_metabat2_bins_bin.42.fa,T2108174125_metabat2_bins_bin.26.fa,T2108174125_concoct_bins_bin.86.fa,T2108174124_concoct_bins_bin.51.fa,T2108174143_metabat2_bins_bin.71.fa,T2108174125_maxbin2_bins_bin.22.fa"
SGB_2408	T2108173986_metabat2_bins_bin.22	T2108173986_metabat2_bins_bin.22.fa
SGB_1586	T2108174064_concoct_bins_bin.47	"T2108174064_concoct_bins_bin.47.fa,T2108174064_metabat2_bins_bin.20.fa,T2108174064_maxbin2_bins_bin.33.fa,T2108174013_metabat2_bins_bin.13.fa,T2108173943_concoct_bins_bin.114.fa,T2108174013_maxbin2_bins_bin.35.fa,T2108174013_concoct_bins_bin.16.fa,T2108174063_concoct_bins_bin.73.fa,T2108174061_maxbin2_bins_bin.34.fa,T2108174061_concoct_bins_bin.25.fa,T2108174063_metabat2_bins_bin.32.fa,T2108174063_maxbin2_bins_bin.31.fa,T2108174062_maxbin2_bins_bin.8.fa,T2108174065_metabat2_bins_bin.45.fa,T2108173944_metabat2_bins_bin.40.fa,T2108173944_concoct_bins_bin.102.fa,T2108174019_concoct_bins_bin.67.fa,T2108174016_maxbin2_bins_bin.9.fa,T2108174016_concoct_bins_bin.116.fa,T2108173972_maxbin2_bins_bin.31.fa,T2108173972_metabat2_bins_bin.40.fa,T2108173980_maxbin2_bins_bin.46.fa,T2108173910_maxbin2_bins_bin.20.fa,T2108173971_metabat2_bins_bin.35.fa,T2108174014_maxbin2_bins_bin.43.fa,T2108174014_concoct_bins_bin.48.fa,T2108174067_concoct_bins_bin.10.fa,T2108173945_maxbin2_bins_bin.41.fa,T2108174060_concoct_bins_bin.32.fa,T2108173945_concoct_bins_bin.49.fa,T2108174027_concoct_bins_bin.83.fa,T2108174065_concoct_bins_bin.69.fa"
SGB_2410	1111525849742850_bin.28	"1111525849742850_bin.28.fa,SMGC_214.fa"
SGB_1384	T2108173992_maxbin2_bins_bin.80	"T2107172010_metabat2_bins_bin.59.fa,T2108174128_metabat2_bins_bin.14.fa,T2108173992_metabat2_bins_bin.126.fa,T2108173992_concoct_bins_bin.101.fa,T2108173992_maxbin2_bins_bin.80.fa,T2108174131_metabat2_bins_bin.28.fa,T2108174131_concoct_bins_bin.88.fa"
SGB_2407	T2108173922_concoct_bins_bin.104	T2108173922_concoct_bins_bin.104.fa
SGB_1409	T2108174003_concoct_bins_bin.81	"T2108174003_metabat2_bins_bin.7.fa,T2108174003_concoct_bins_bin.81.fa"
SGB_2414	T2108173904_maxbin2_bins_bin.8	"T2108173904_maxbin2_bins_bin.8.fa,T2108173897_maxbin2_bins_bin.3.fa,T2108173958_maxbin2_bins_bin.23.fa"
