user_genome	classification	classification_color	Genome_size	Completeness	Contamination	checkM	checkM_ann	Cultured	ncbi_genome_category
T2108173915_concoct_bins_bin.63	Actinomycetota	#F19A97	2191684	93.36	0.726	1	HQ	1	classified
T2108173915_metabat2_bins_bin.70	Actinomycetota	#F19A97	2088265	91.21	3.331	1	HQ	1	unclassified
T2108173915_metabat2_bins_bin.76	Actinomycetota	#F19A97	1759885	81.82	1.027	1	MQ	1	classified
T2108173919_concoct_bins_bin.82	Actinomycetota	#F19A97	3404579	98.83	0.058	1	HQ	1	classified
T2108173920_metabat2_bins_bin.118	Actinomycetota	#F19A97	1495097	79.26	0.881	1	MQ	1	unclassified
T2108173920_metabat2_bins_bin.153	Actinomycetota	#F19A97	5630757	75.68	4.757	1	MQ	1	classified
T2108173920_metabat2_bins_bin.31	Actinomycetota	#F19A97	1535001	75.6	3.372	1	MQ	1	classified
T2108173922_concoct_bins_bin.77	Actinomycetota	#F19A97	6199286	87.38	3.151	1	MQ	1	classified
T2108173922_metabat2_bins_bin.103	Actinomycetota	#F19A97	1764994	93.84	1.323	1	HQ	1	classified
T2108173922_metabat2_bins_bin.76	Actinomycetota	#F19A97	2224674	81.35	1.949	1	MQ	1	unclassified
T2108173924_metabat2_bins_bin.5	Actinomycetota	#F19A97	3115673	84.62	3.184	1	MQ	1	unclassified
T2108173925_concoct_bins_bin.98	Actinomycetota	#F19A97	1762947	95.26	0.473	1	HQ	1	unclassified
T2108173925_metabat2_bins_bin.50	Actinomycetota	#F19A97	1400879	100	0	1	HQ	1	classified
T2108173926_metabat2_bins_bin.40	Actinomycetota	#F19A97	2791198	79.28	2.225	1	MQ	1	classified
T2108173931_concoct_bins_bin.12	Actinomycetota	#F19A97	1935450	100	0	1	HQ	1	classified
T2108173932_concoct_bins_bin.41	Actinomycetota	#F19A97	4587972	82.13	0.754	1	MQ	1	classified
T2108173934_metabat2_bins_bin.21	Actinomycetota	#F19A97	2410088	77.99	0.993	1	MQ	1	classified
T2108173934_metabat2_bins_bin.47	Actinomycetota	#F19A97	2913146	93.1	3.708	1	HQ	1	classified
T2108173934_metabat2_bins_bin.48	Actinomycetota	#F19A97	2663439	98.89	0	1	HQ	1	unclassified
T2108173937_concoct_bins_bin.16	Actinomycetota	#F19A97	2242070	99.05	0.947	1	HQ	1	unclassified
T2108173941_metabat2_bins_bin.22	Actinomycetota	#F19A97	1975432	76.72	5.639	1	MQ	1	classified
T2108173943_metabat2_bins_bin.67	Actinomycetota	#F19A97	4310366	94.01	0.427	1	HQ	1	unclassified
T2108173945_concoct_bins_bin.16	Actinomycetota	#F19A97	2959622	99.31	0.152	1	HQ	1	classified
T2108173945_metabat2_bins_bin.8	Actinomycetota	#F19A97	2640471	96.44	0	1	HQ	1	unclassified
T2108173949_concoct_bins_bin.14	Actinomycetota	#F19A97	6793749	82.13	9.487	1	MQ	1	classified
T2108173957_metabat2_bins_bin.25	Actinomycetota	#F19A97	2529400	97.73	0.509	1	HQ	1	classified
T2108173960_concoct_bins_bin.2	Actinomycetota	#F19A97	1426058	92.39	4.224	1	HQ	1	classified
T2108173961_metabat2_bins_bin.40	Actinomycetota	#F19A97	1556753	95.76	0	1	HQ	1	classified
T2108173962_concoct_bins_bin.57	Actinomycetota	#F19A97	3643452	95.13	0.945	1	HQ	1	unclassified
T2108173965_metabat2_bins_bin.6	Actinomycetota	#F19A97	1389005	82.81	0.473	1	MQ	1	classified
T2108173973_metabat2_bins_bin.28	Actinomycetota	#F19A97	1630592	75.99	7.713	1	MQ	1	unclassified
T2108173974_metabat2_bins_bin.16	Actinomycetota	#F19A97	1872892	93.65	1.101	1	HQ	1	unclassified
T2108173975_concoct_bins_bin.134	Actinomycetota	#F19A97	1620517	93.56	2.27	1	HQ	1	classified
T2108173977_concoct_bins_bin.72	Actinomycetota	#F19A97	5973418	77.58	1.388	1	MQ	1	classified
T2108173978_concoct_bins_bin.112	Actinomycetota	#F19A97	1835408	82.93	6.451	1	MQ	1	classified
T2108173978_concoct_bins_bin.145	Actinomycetota	#F19A97	1370582	84.81	1.005	1	MQ	1	classified
T2108173978_concoct_bins_bin.221	Actinomycetota	#F19A97	3589527	97.19	2.477	1	HQ	1	unclassified
T2108173978_metabat2_bins_bin.57	Actinomycetota	#F19A97	1822568	75.06	6.098	1	MQ	1	classified
T2108173978_metabat2_bins_bin.72	Actinomycetota	#F19A97	2653703	86.84	1.754	1	MQ	1	unclassified
1111525849640249_bin.47	Actinomycetota	#F19A97	5284592	96.61	1.17	1	HQ	1	unclassified
T2108173986_concoct_bins_bin.1	Actinomycetota	#F19A97	1406561	95.2	3.537	1	HQ	1	classified
T2108173986_concoct_bins_bin.58	Actinomycetota	#F19A97	2034937	89.95	6.72	1	MQ	1	unclassified
T2108173986_maxbin2_bins_bin.59	Actinomycetota	#F19A97	2593703	78.22	6.915	1	MQ	1	unclassified
T2108173989_metabat2_bins_bin.19	Actinomycetota	#F19A97	2654615	91.43	1.446	1	HQ	1	classified
1111525849640249_bin.6	Actinomycetota	#F19A97	4915926	98.27	2.24	1	HQ	1	classified
T2108173990_metabat2_bins_bin.37	Actinomycetota	#F19A97	2706026	85.58	0.643	1	MQ	1	classified
T2108173990_metabat2_bins_bin.49	Actinomycetota	#F19A97	3745162	85.45	6.036	1	MQ	1	unclassified
T2108173991_metabat2_bins_bin.68	Actinomycetota	#F19A97	1828536	82.42	1.807	1	MQ	1	unclassified
T2108173992_concoct_bins_bin.97	Actinomycetota	#F19A97	2347803	100	1.612	1	HQ	1	unclassified
T2108173992_maxbin2_bins_bin.80	Actinomycetota	#F19A97	2027540	84.37	4.358	1	MQ	1	classified
T2108173992_metabat2_bins_bin.22	Actinomycetota	#F19A97	2253498	92.55	1.681	1	HQ	1	classified
1111525849478674_bin.44	Actinomycetota	#F19A97	3888662	98.28	0	1	HQ	1	unclassified
T2108174003_concoct_bins_bin.32	Actinomycetota	#F19A97	2698625	91.2	4.761	1	HQ	1	classified
T2108174003_concoct_bins_bin.80	Actinomycetota	#F19A97	2794059	96.25	1.118	1	HQ	1	classified
T2108174003_concoct_bins_bin.81	Actinomycetota	#F19A97	2080290	78.13	4.664	1	MQ	1	classified
T2108174003_metabat2_bins_bin.55	Actinomycetota	#F19A97	1769813	84.38	5.263	1	MQ	1	unclassified
T2108174006_metabat2_bins_bin.7	Actinomycetota	#F19A97	2329063	75.87	9.27	1	MQ	1	classified
T2108174007_metabat2_bins_bin.29	Actinomycetota	#F19A97	2899050	100	1.209	1	HQ	1	classified
T2108174007_metabat2_bins_bin.44	Actinomycetota	#F19A97	3159880	98.1	3.469	1	HQ	1	classified
T2108174013_metabat2_bins_bin.57	Actinomycetota	#F19A97	2173437	100	0.806	1	HQ	1	classified
T2108174013_metabat2_bins_bin.80	Actinomycetota	#F19A97	2344338	90.55	7.312	1	MQ	1	unclassified
T2108174014_metabat2_bins_bin.26	Actinomycetota	#F19A97	2398267	97.16	0.195	1	HQ	1	unclassified
T2108174021_metabat2_bins_bin.5	Actinomycetota	#F19A97	5522959	77.58	5.528	1	MQ	1	unclassified
T2108174023_concoct_bins_bin.22	Actinomycetota	#F19A97	1706995	89	3.013	1	MQ	1	unclassified
T2108174023_concoct_bins_bin.43	Actinomycetota	#F19A97	2154396	96.9	1.075	1	HQ	1	unclassified
1111525849640249_bin.88	Actinomycetota	#F19A97	4118825	94.5	6.94	1	MQ	1	classified
T2108174023_concoct_bins_bin.59	Actinomycetota	#F19A97	1787780	94.12	0	1	HQ	1	unclassified
T2108174023_metabat2_bins_bin.4	Actinomycetota	#F19A97	2355736	90.92	7.836	1	MQ	1	classified
T2108174023_metabat2_bins_bin.7	Actinomycetota	#F19A97	2475416	87.19	5.841	1	MQ	1	unclassified
1111525849640249_bin.9	Actinomycetota	#F19A97	2842326	98.99	0	1	HQ	1	unclassified
T2108174032_concoct_bins_bin.2	Actinomycetota	#F19A97	3898183	99.45	0.728	1	HQ	1	unclassified
T2108174043_concoct_bins_bin.47	Actinomycetota	#F19A97	2058927	96.49	1.816	1	HQ	1	unclassified
T2108174044_concoct_bins_bin.147	Actinomycetota	#F19A97	2133498	97.61	0.691	1	HQ	1	classified
T2108174044_concoct_bins_bin.158	Actinomycetota	#F19A97	2472462	91.95	3.703	1	HQ	1	classified
T2108174044_concoct_bins_bin.74	Actinomycetota	#F19A97	1827347	99.76	0	1	HQ	1	classified
T2108174044_concoct_bins_bin.77	Actinomycetota	#F19A97	4071592	78.79	2.546	1	MQ	1	classified
T2108174044_concoct_bins_bin.85	Actinomycetota	#F19A97	2302269	100	0.384	1	HQ	1	classified
T2108174044_metabat2_bins_bin.66	Actinomycetota	#F19A97	1660673	88.94	1.868	1	MQ	1	classified
T2108174046_concoct_bins_bin.22	Actinomycetota	#F19A97	2979248	95.49	1.321	1	HQ	1	classified
T2108174046_metabat2_bins_bin.3	Actinomycetota	#F19A97	2709090	75.63	6.734	1	MQ	1	unclassified
T2108174048_concoct_bins_bin.38	Actinomycetota	#F19A97	2266163	98	0	1	HQ	1	classified
T2108174049_maxbin2_bins_bin.7	Actinomycetota	#F19A97	2752941	99.45	0	1	HQ	1	classified
T2108174051_metabat2_bins_bin.52	Actinomycetota	#F19A97	2765799	90.09	2.216	1	HQ	1	unclassified
1111525849640573_bin.15	Actinomycetota	#F19A97	5312069	99.06	0.54	1	HQ	1	classified
T2108174051_metabat2_bins_bin.9	Actinomycetota	#F19A97	2557568	99.48	1.646	1	HQ	1	classified
T2108174052_concoct_bins_bin.85	Actinomycetota	#F19A97	3517058	94.47	2.325	1	HQ	1	classified
T2108174052_concoct_bins_bin.89	Actinomycetota	#F19A97	3667736	99.73	1.49	1	HQ	1	classified
T2108174052_metabat2_bins_bin.68	Actinomycetota	#F19A97	2606922	99.11	0.352	1	HQ	1	classified
T2108174054_concoct_bins_bin.9	Actinomycetota	#F19A97	2133984	99.01	0	1	HQ	1	classified
1111525849640573_bin.28	Actinomycetota	#F19A97	5256251	95.07	4.49	1	HQ	1	unclassified
T2108174055_concoct_bins_bin.80	Actinomycetota	#F19A97	2170115	94.15	0.146	1	HQ	1	classified
T2108174057_metabat2_bins_bin.10	Actinomycetota	#F19A97	2170423	77.67	7.591	1	MQ	1	classified
T2108174062_concoct_bins_bin.134	Actinomycetota	#F19A97	1998269	94.56	1.155	1	HQ	1	classified
T2108174062_concoct_bins_bin.15	Actinomycetota	#F19A97	2878865	97.58	0	1	HQ	1	classified
T2108174062_concoct_bins_bin.160	Actinomycetota	#F19A97	1852691	76.25	1.612	1	MQ	1	unclassified
T2108174062_maxbin2_bins_bin.9	Actinomycetota	#F19A97	3687758	94.5	8.726	1	MQ	1	classified
T2108174062_metabat2_bins_bin.150	Actinomycetota	#F19A97	1627276	89.39	1.598	1	MQ	1	unclassified
1111525849640573_bin.37	Actinomycetota	#F19A97	5457563	97.44	3.65	1	HQ	1	unclassified
T2108174064_concoct_bins_bin.47	Actinomycetota	#F19A97	1574769	100	0	1	HQ	1	classified
T2108174068_concoct_bins_bin.60	Actinomycetota	#F19A97	2379011	93.1	1.932	1	HQ	1	classified
T2108174069_maxbin2_bins_bin.97	Actinomycetota	#F19A97	3943532	75.02	9.677	1	MQ	1	unclassified
T2108174071_concoct_bins_bin.10	Actinomycetota	#F19A97	2596427	92.98	0.657	1	HQ	1	unclassified
T2108174072_concoct_bins_bin.77	Actinomycetota	#F19A97	3108036	97.56	1.714	1	HQ	1	classified
T2108174072_metabat2_bins_bin.37	Actinomycetota	#F19A97	6054756	91.94	1.811	1	HQ	1	classified
T2108174072_metabat2_bins_bin.99	Actinomycetota	#F19A97	3194909	89.57	3.054	1	MQ	1	classified
T2108174074_concoct_bins_bin.127	Actinomycetota	#F19A97	2851928	88.74	4.493	1	MQ	1	classified
T2108174075_concoct_bins_bin.26	Actinomycetota	#F19A97	2607603	97.63	2.083	1	HQ	1	classified
T2108174075_concoct_bins_bin.47	Actinomycetota	#F19A97	4302947	75.27	9.926	1	MQ	1	unclassified
T2108174076_concoct_bins_bin.27	Actinomycetota	#F19A97	1740772	76.7	5.4	1	MQ	1	classified
T2108174079_concoct_bins_bin.31	Actinomycetota	#F19A97	2908810	88.22	3.563	1	MQ	1	classified
T2108174079_metabat2_bins_bin.73	Actinomycetota	#F19A97	4068493	77.77	7.022	1	MQ	1	classified
T2108174080_metabat2_bins_bin.30	Actinomycetota	#F19A97	2388618	91.16	4.34	1	HQ	1	unclassified
T2108174080_metabat2_bins_bin.70	Actinomycetota	#F19A97	2588676	97.84	0.44	1	HQ	1	unclassified
T2108174086_metabat2_bins_bin.29	Actinomycetota	#F19A97	2576015	76.03	7.401	1	MQ	1	classified
T2108174088_metabat2_bins_bin.40	Actinomycetota	#F19A97	3743633	98.51	0.959	1	HQ	1	classified
T2108174088_metabat2_bins_bin.76	Actinomycetota	#F19A97	1864252	77.59	6.013	1	MQ	1	classified
T2108174089_concoct_bins_bin.148	Actinomycetota	#F19A97	1441624	76.58	1.075	1	MQ	1	unclassified
T2108174089_concoct_bins_bin.66	Actinomycetota	#F19A97	2078749	90.55	1.612	1	HQ	1	unclassified
T2108174096_metabat2_bins_bin.73	Actinomycetota	#F19A97	3311565	78.01	4.346	1	MQ	1	unclassified
1111525849645106_bin.7	Actinomycetota	#F19A97	4000282	99.57	0.85	1	HQ	1	unclassified
T2108174101_concoct_bins_bin.198	Actinomycetota	#F19A97	2498173	98.67	0.883	1	HQ	1	classified
T2108174101_concoct_bins_bin.35	Actinomycetota	#F19A97	7190204	96.03	1.617	1	HQ	1	classified
T2108174101_metabat2_bins_bin.67	Actinomycetota	#F19A97	2456352	95.68	2.427	1	HQ	1	classified
T2108174102_concoct_bins_bin.101	Actinomycetota	#F19A97	2197671	80.33	7.303	1	MQ	1	unclassified
T2108174102_concoct_bins_bin.133	Actinomycetota	#F19A97	1987847	89.18	2.446	1	MQ	1	unclassified
1111525849645752_bin.44	Actinomycetota	#F19A97	1311246	78.31	1.46	1	MQ	1	classified
T2108174102_metabat2_bins_bin.136	Actinomycetota	#F19A97	1397306	97.58	0	1	HQ	1	classified
T2108174102_metabat2_bins_bin.143	Actinomycetota	#F19A97	2318334	91.79	1.877	1	HQ	1	classified
T2108174102_metabat2_bins_bin.55	Actinomycetota	#F19A97	2188746	90.55	1.531	1	HQ	1	classified
T2108174103_metabat2_bins_bin.20	Actinomycetota	#F19A97	2692553	89.54	3.45	1	MQ	1	classified
T2108174107_metabat2_bins_bin.64	Actinomycetota	#F19A97	2299247	90.08	7.835	1	MQ	1	classified
T2108174111_concoct_bins_bin.81	Actinomycetota	#F19A97	2463957	93.44	9.746	1	MQ	1	classified
T2108174111_metabat2_bins_bin.14	Actinomycetota	#F19A97	3342014	96.63	0.505	1	HQ	1	classified
T2108174111_metabat2_bins_bin.34	Actinomycetota	#F19A97	2168731	90.41	1.194	1	HQ	1	unclassified
T2108174115_concoct_bins_bin.59	Actinomycetota	#F19A97	2910826	91.28	0.96	1	HQ	1	classified
T2108174117_concoct_bins_bin.43	Actinomycetota	#F19A97	2261384	75.18	6.852	1	MQ	1	unclassified
T2108174117_metabat2_bins_bin.22	Actinomycetota	#F19A97	1886977	76.44	6.076	1	MQ	1	unclassified
T2108174120_metabat2_bins_bin.24	Actinomycetota	#F19A97	2333130	98.24	0.194	1	HQ	1	classified
T2108174120_metabat2_bins_bin.31	Actinomycetota	#F19A97	2682635	98.25	1.047	1	HQ	1	unclassified
T2108174122_metabat2_bins_bin.52	Actinomycetota	#F19A97	2134706	87.37	4.885	1	MQ	1	classified
T2108174123_concoct_bins_bin.64	Actinomycetota	#F19A97	2619382	96.35	0.662	1	HQ	1	classified
T2108174123_concoct_bins_bin.96	Actinomycetota	#F19A97	4293668	100	1.081	1	HQ	1	unclassified
T2108174123_metabat2_bins_bin.7	Actinomycetota	#F19A97	3990573	75.48	3.675	1	MQ	1	unclassified
T2108174124_concoct_bins_bin.47	Actinomycetota	#F19A97	2746215	96.46	0.507	1	HQ	1	classified
T2108174124_concoct_bins_bin.89	Actinomycetota	#F19A97	1678658	95.58	0	1	HQ	1	classified
T2108174125_concoct_bins_bin.86	Actinomycetota	#F19A97	2202322	88.13	1.382	1	MQ	1	classified
T2108174126_concoct_bins_bin.11	Actinomycetota	#F19A97	2013061	93.82	0.11	1	HQ	1	classified
T2108174126_metabat2_bins_bin.35	Actinomycetota	#F19A97	1973658	96.88	0	1	HQ	1	unclassified
T2108174126_metabat2_bins_bin.80	Actinomycetota	#F19A97	1632113	82.3	1.421	1	MQ	1	unclassified
T2108174127_concoct_bins_bin.106	Actinomycetota	#F19A97	2142478	75.42	8.466	1	MQ	1	classified
T2108174127_concoct_bins_bin.181	Actinomycetota	#F19A97	2233919	86.59	4.131	1	MQ	1	classified
T2108174127_concoct_bins_bin.89	Actinomycetota	#F19A97	2539847	87.3	1.2	1	MQ	1	classified
T2108174127_metabat2_bins_bin.113	Actinomycetota	#F19A97	2844675	82.84	5.019	1	MQ	1	classified
T2108174127_metabat2_bins_bin.118	Actinomycetota	#F19A97	2250609	75.78	3.493	1	MQ	1	classified
T2108174127_metabat2_bins_bin.17	Actinomycetota	#F19A97	3010421	96.53	0.635	1	HQ	1	unclassified
T2108174127_metabat2_bins_bin.27	Actinomycetota	#F19A97	3268697	79.36	4.981	1	MQ	1	classified
T2108174127_metabat2_bins_bin.72	Actinomycetota	#F19A97	3186642	87.8	8.229	1	MQ	1	classified
T2108174127_metabat2_bins_bin.81	Actinomycetota	#F19A97	3206165	96.15	0.085	1	HQ	1	unclassified
T2108174127_metabat2_bins_bin.99	Actinomycetota	#F19A97	2338792	77.67	4.548	1	MQ	1	classified
T2108174128_concoct_bins_bin.123	Actinomycetota	#F19A97	1744819	90.57	1.027	1	HQ	1	classified
T2108174131_maxbin2_bins_bin.53	Actinomycetota	#F19A97	3744179	95.85	3.412	1	HQ	1	unclassified
T2108174131_metabat2_bins_bin.53	Actinomycetota	#F19A97	2812719	80.56	6.896	1	MQ	1	unclassified
T2108174133_concoct_bins_bin.57	Actinomycetota	#F19A97	2079095	100	1.263	1	HQ	1	classified
T2108174133_metabat2_bins_bin.33	Actinomycetota	#F19A97	2066301	96.91	1.469	1	HQ	1	classified
T2108174135_concoct_bins_bin.92	Actinomycetota	#F19A97	3077057	98.7	0.862	1	HQ	1	unclassified
T2108174135_metabat2_bins_bin.120	Actinomycetota	#F19A97	2085876	94.34	0	1	HQ	1	classified
T2108174135_metabat2_bins_bin.139	Actinomycetota	#F19A97	2357742	90.95	1.507	1	HQ	1	unclassified
T2108174135_metabat2_bins_bin.85	Actinomycetota	#F19A97	2973104	99.81	0.252	1	HQ	1	classified
T2108174137_concoct_bins_bin.36	Actinomycetota	#F19A97	4838699	99.52	4.127	1	HQ	1	unclassified
T2108174140_concoct_bins_bin.71	Actinomycetota	#F19A97	2214106	97.82	4.566	1	HQ	1	unclassified
T2108174142_metabat2_bins_bin.14	Actinomycetota	#F19A97	2499927	88.97	0.382	1	MQ	1	unclassified
1111525849663683_bin.3	Actinomycetota	#F19A97	2244502	97.04	1.03	1	HQ	1	classified
T2108174144_concoct_bins_bin.141	Actinomycetota	#F19A97	1550588	97.88	9.136	1	MQ	1	classified
T2108174144_metabat2_bins_bin.2	Actinomycetota	#F19A97	2822112	87.48	3.449	1	MQ	1	classified
T2108174144_metabat2_bins_bin.52	Actinomycetota	#F19A97	2334093	97.56	1.316	1	HQ	1	classified
T2108174145_metabat2_bins_bin.64	Actinomycetota	#F19A97	2698896	98.89	0	1	HQ	1	classified
T2108174145_metabat2_bins_bin.65	Actinomycetota	#F19A97	1879931	95.14	0	1	HQ	1	unclassified
T2109198871_concoct_bins_bin.11	Actinomycetota	#F19A97	2606660	98.27	0.688	1	HQ	1	classified
T2109198871_concoct_bins_bin.19	Actinomycetota	#F19A97	2437378	99.33	0	1	HQ	1	classified
T2109198873_concoct_bins_bin.6	Actinomycetota	#F19A97	3886761	100	1.541	1	HQ	1	unclassified
T2109198876_concoct_bins_bin.21	Actinomycetota	#F19A97	3000411	100	0	1	HQ	1	classified
T2109198877_concoct_bins_bin.20	Actinomycetota	#F19A97	2298306	91.47	6.582	1	MQ	1	classified
1111525849663802_bin.20	Actinomycetota	#F19A97	6329061	99.01	3.15	1	HQ	1	classified
T2109198881_concoct_bins_bin.4	Actinomycetota	#F19A97	2435688	99.77	0	1	HQ	1	classified
T2109198890_concoct_bins_bin.24	Actinomycetota	#F19A97	2477355	99.77	0	1	HQ	1	classified
T2109198932_concoct_bins_bin.6	Actinomycetota	#F19A97	4139105	91.66	6.269	1	MQ	1	classified
T2109198933_concoct_bins_bin.2	Actinomycetota	#F19A97	2617854	100	0	1	HQ	1	classified
1111525849479196_bin.41	Actinomycetota	#F19A97	2276141	97.49	1.83	1	HQ	1	classified
T2109198940_concoct_bins_bin.35	Actinomycetota	#F19A97	3388539	98.48	0.757	1	HQ	1	classified
T2109198944_concoct_bins_bin.12	Actinomycetota	#F19A97	3147903	98.53	1.812	1	HQ	1	classified
T2109198978_concoct_bins_bin.19	Actinomycetota	#F19A97	2670548	98.68	0	1	HQ	1	classified
T2109199052_concoct_bins_bin.21	Actinomycetota	#F19A97	2379464	99.33	0	1	HQ	1	classified
T2109199058_concoct_bins_bin.56	Actinomycetota	#F19A97	2103990	99.22	0	1	HQ	1	unclassified
T2109199059_concoct_bins_bin.22	Actinomycetota	#F19A97	3052357	89.91	7.182	1	MQ	1	unclassified
T2109199084_concoct_bins_bin.17	Actinomycetota	#F19A97	2726871	99.34	0	1	HQ	1	classified
T2109199085_concoct_bins_bin.10	Actinomycetota	#F19A97	3248735	95.19	5.275	1	MQ	1	unclassified
T2109199085_concoct_bins_bin.31	Actinomycetota	#F19A97	2195480	77.04	1.986	1	MQ	1	unclassified
T2109199135_concoct_bins_bin.7	Actinomycetota	#F19A97	2154286	80.2	3.892	1	MQ	1	unclassified
T2109199161_concoct_bins_bin.8	Actinomycetota	#F19A97	2472781	100	0	1	HQ	1	classified
T2109199183_concoct_bins_bin.26	Actinomycetota	#F19A97	2490707	77.88	2.63	1	MQ	1	classified
1111525849479399_bin.4	Actinomycetota	#F19A97	2166923	90.76	2.75	1	HQ	1	classified
T2109199207_concoct_bins_bin.36	Actinomycetota	#F19A97	2497405	98.67	0	1	HQ	1	classified
T2109199215_concoct_bins_bin.20	Actinomycetota	#F19A97	2755864	99.34	0	1	HQ	1	classified
1111525849736936_bin.29	Actinomycetota	#F19A97	3725260	95.26	2.99	1	HQ	1	unclassified
1111525849736979_bin.1	Actinomycetota	#F19A97	2952282	90.81	2.5	1	HQ	1	classified
1111525849737158_bin.35	Actinomycetota	#F19A97	2215474	97.36	0	1	HQ	1	classified
1111525849737484_bin.20	Actinomycetota	#F19A97	5383339	99.57	4.27	1	HQ	1	unclassified
T2108174052_metabat2_bins_bin.84	Actinomycetota	#F19A97	1451775	73.83	0.473	1	MQ	1	classified
T2108174023_concoct_bins_bin.48	Actinomycetota	#F19A97	1462428	61.31	3.443	1	MQ	1	unclassified
T2108173920_metabat2_bins_bin.5	Actinomycetota	#F19A97	1441345	64.51	7.96	1	MQ	1	classified
T2108174064_concoct_bins_bin.119	Actinomycetota	#F19A97	1377659	56.51	2.187	1	MQ	1	classified
T2107172000_concoct_bins_bin.2	Actinomycetota	#F19A97	1120655	52.87	3.092	1	MQ	1	unclassified
T2108174062_maxbin2_bins_bin.166	Actinomycetota	#F19A97	2375336	52.85	6.896	1	MQ	1	unclassified
MET0841_bin.2	Actinomycetota	#F19A97	1597031	83.01	1.18	1	MQ	1	classified
